INFO   | jvm 1    | 2016/11/29 13:34:28 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2016/11/29 13:34:28 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2016/11/29 13:34:28 |           could not be loaded:
INFO   | jvm 1    | 2016/11/29 13:34:28 |             E:\APGFileIntegration\8_StringMover\.\wrapper.dll
INFO   | jvm 1    | 2016/11/29 13:34:28 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2016/11/29 13:34:28 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2016/11/29 13:34:28 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2016/11/29 13:34:28 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2016/11/29 13:34:28 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2016/11/29 13:34:28 |           Reported cause:
